Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Date of Birth,Age in Yrs.,Date of Joining,Quarter of Joining,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
707520,Mr.,Bernardo,L,Austin,M,bernardo.austin@hotmail.com,2/2/1975,42.51,1/26/2005,Q1,12.51,118693,15%,143-23-9034,319-716-4227,Knoxville,Marion,Knoxville,IA,50197,Midwest,blaustin,S:An&6n%>s!
673049,Dr.,Cole,E,Jensen,M,cole.jensen@aol.com,2/10/1990,27.48,5/30/2011,Q2,6.17,98381,22%,762-12-1934,405-495-4201,Oklahoma City,Oklahoma,Oklahoma City,OK,73184,South,cejensen,C@#*|0ODx{7%bc
265124,Ms.,Tonia,J,Burns,F,tonia.burns@gmail.com,4/19/1985,32.3,9/12/2014,Q3,2.88,102274,19%,093-02-0725,209-631-5424,Friant,Fresno,Friant,CA,93626,West,tjburns,0bGtW[zHT?eSq\N
300693,Mr.,Tod,N,Holcomb,M,tod.holcomb@outlook.com,6/21/1987,30.12,6/5/2015,Q2,2.15,91719,3%,770-02-9125,240-364-4220,Patuxent River,St. Mary's,Patuxent River,MD,20670,South,tnholcomb,205oA^B^
369712,Mrs.,Yesenia,B,Guerrero,F,yesenia.guerrero@btinternet.com,3/29/1968,49.36,3/3/1994,Q1,23.42,150016,4%,494-29-3248,240-505-5321,Reisterstown,Baltimore,Reisterstown,MD,21136,South,ybguerrero,R:%7@}wYr$
913253,Mr.,Carey,B,Ferrell,M,carey.ferrell@yahoo.com,5/22/1972,45.21,10/30/2004,Q4,12.75,125232,5%,522-99-2018,212-495-4523,New Baltimore,Greene,New Baltimore,NY,12124,Northeast,cbferrell,U~BdKWV?i.
308617,Mrs.,Aileen,D,Blanchard,F,aileen.blanchard@gmail.com,12/5/1986,30.67,7/18/2009,Q3,8.03,179264,13%,401-73-0903,308-788-3843,Herman,Washington,Herman,NE,68029,Midwest,adblanchard,y^c.5-;po\t
766783,Mrs.,Marta,N,Cervantes,F,marta.cervantes@gmail.com,2/17/1971,46.47,9/17/2016,Q3,0.86,68134,14%,530-99-5537,206-858-9176,Hoquiam,Grays Harbor,Hoquiam,WA,98550,West,mncervantes,qUe$H{X:O{hd
959506,Mr.,Arthur,Q,Holloway,M,arthur.holloway@aol.com,9/21/1970,46.88,1/27/2004,Q1,13.51,118621,6%,210-84-4283,225-832-0451,Dodson,Winn,Dodson,LA,71422,South,aqholloway,n<@dGdwIzUwvPk
513011,Ms.,Tara,Y,Forbes,F,tara.forbes@gmail.com,6/26/1976,41.12,9/24/2009,Q3,7.85,85864,26%,249-99-1301,319-249-4281,Sheldon,O'Brien,Sheldon,IA,51201,Midwest,tyforbes,Y%4awtgN^R
290808,Mr.,Josef,S,Griffin,M,josef.griffin@yahoo.com,8/14/1976,40.98,2/25/1998,Q1,19.43,98030,30%,263-99-4192,209-441-9130,Sacramento,Sacramento,Sacramento,CA,95830,West,jsgriffin,s#m$4tEDNy.WlWS
253588,Ms.,Keri,J,Slater,F,keri.slater@apple.com,8/3/1960,57.02,8/9/1994,Q3,22.98,149842,10%,391-33-2772,207-842-2965,Friendship,Knox,Friendship,ME,4547,Northeast,kjslater,s//}_Fg#2%3myC
865628,Mr.,Desmond,R,Wynn,M,desmond.wynn@hotmail.com,7/9/1992,25.07,10/1/2013,Q4,3.82,79476,9%,672-48-8042,209-319-3405,Fresno,Fresno,Fresno,CA,93888,West,drwynn,7<mlnx<s+rU7
583924,Mrs.,Adrienne,H,Puckett,F,adrienne.puckett@verizon.net,5/22/1975,42.21,2/22/1997,Q1,20.44,105366,25%,218-89-2915,209-235-0390,Burlingame,San Mateo,Burlingame,CA,94012,West,ahpuckett,lI+;8<q%jFCwn*
932453,Mrs.,Beatriz,I,Knowles,F,beatriz.knowles@gmail.com,2/25/1984,33.44,9/16/2011,Q3,5.87,53311,18%,708-18-8763,406-923-1326,Arlee,Lake,Arlee,MT,59821,West,biknowles,HGrMUb9]YhisE
432168,Hon.,Jermaine,S,Sykes,M,jermaine.sykes@apple.com,1/18/1990,27.54,5/24/2016,Q2,1.18,122631,5%,558-99-4351,239-204-8747,Welaka,Putnam,Welaka,FL,32193,South,jssykes,0U_0M\tj[m6gC
463784,Mr.,Scott,H,Best,M,scott.best@cox.net,8/24/1990,26.95,12/22/2015,Q4,1.6,45210,30%,118-98-6210,307-504-4165,Bairoil,Sweetwater,Bairoil,WY,82322,West,shbest,bvGAV^e7JXQvBt1
721098,Ms.,Isabel,Q,Espinoza,F,isabel.espinoza@gmail.com,12/9/1971,45.67,10/14/1993,Q4,23.8,115858,5%,393-33-2020,405-622-8606,Tupelo,Coal,Tupelo,OK,74572,South,iqespinoza,yWuGDStb?sj7d
392678,Mr.,Marcelino,Y,Kinney,M,marcelino.kinney@gmail.com,1/26/1996,21.52,2/28/2017,Q1,0.41,178750,19%,013-94-1066,479-929-0873,Little Rock,Little Rock,Little Rock,AR,72208,South,mykinney,Xw?WXFM{J3GkQq3
880704,Dr.,Benjamin,X,Jennings,M,benjamin.jennings@gmail.com,5/21/1977,40.21,6/10/2001,Q2,16.14,115574,3%,585-99-8326,907-621-7774,Shungnak,Northwest Arctic,Shungnak,AK,99773,West,bxjennings,4u:O$kyhzQD32$
186102,Drs.,Marcia,N,Casey,F,marcia.casey@gmail.com,7/24/1966,51.05,11/8/2013,Q4,3.72,118607,6%,433-99-1252,210-804-3397,Victoria,Victoria,Victoria,TX,77903,South,mncasey,3z$F$H*S>
350367,Mr.,Rudolph,P,Gordon,M,rudolph.gordon@aol.com,4/28/1979,38.28,11/12/2001,Q4,15.72,98990,26%,461-99-0808,304-418-1131,Shinnston,Harrison,Shinnston,WV,26431,South,rpgordon,TqE&Z>nRhOgI7d
893976,Ms.,Beverly,I,Rosales,F,beverly.rosales@yahoo.com,3/4/1975,42.43,4/24/2005,Q2,12.27,139394,21%,475-55-0832,217-490-8205,Rossville,Vermilion,Rossville,IL,60963,Midwest,birosales,k?3fJstfE?R
542826,Mr.,Marcus,D,Bolton,M,marcus.bolton@aol.com,7/5/1977,40.09,1/9/2011,Q1,6.55,63525,24%,068-02-2280,212-514-2721,Bellerose,Queens,Bellerose,NY,11426,Northeast,mdbolton,2OcV@F5^BFn
590579,Ms.,Priscilla,Z,Mays,F,priscilla.mays@gmail.com,9/4/1985,31.92,2/26/2017,Q1,0.42,185105,25%,377-37-1416,231-346-3176,Fairview,Oscoda,Fairview,MI,48621,Midwest,pzmays,48fet|^>GE
297741,Ms.,Lynn,E,Pena,F,lynn.pena@yahoo.co.in,8/14/1962,54.99,11/8/1996,Q4,20.73,48443,4%,524-99-3502,217-334-0502,Castleton,Stark,Castleton,IL,61426,Midwest,lepena,iRa12S<}EeB
458320,Ms.,Tessa,D,Pace,F,tessa.pace@aol.com,12/7/1957,59.68,12/29/2012,Q4,4.58,44198,17%,135-25-6072,319-672-2590,Austinville,Butler,Austinville,IA,50608,Midwest,tdpace,t].VIsI_B8
297059,Mr.,Rufus,S,Guerra,M,rufus.guerra@rediffmail.com,12/25/1967,49.62,5/1/2004,Q2,13.25,169620,2%,200-84-8326,212-472-1331,Adams Basin,Monroe,Adams Basin,NY,14410,Northeast,rsguerra,ydw~jANV1S.
874971,Mr.,Roman,R,Clark,M,roman.clark@aol.com,12/25/1962,54.63,1/8/1985,Q1,32.57,125299,13%,093-02-5729,215-567-2136,Lampeter,Lancaster,Lampeter,PA,17537,Northeast,rrclark,J#zr2h\w
136626,Ms.,Carmela,D,Jefferson,F,carmela.jefferson@walmart.com,3/17/1975,42.39,2/27/2003,Q1,14.42,132431,1%,395-33-1359,239-941-5976,Keystone Heights,Clay,Keystone Heights,FL,32656,South,cdjefferson,sX[4VN1HRF>w
865495,Mr.,Thurman,J,Good,M,thurman.good@yahoo.com,1/27/1996,21.52,2/6/2017,Q1,0.47,118525,26%,306-37-8083,217-874-3909,Eddyville,Pope,Eddyville,IL,62928,Midwest,tjgood,HB}g+@];%pHTu
415161,Dr.,Lemuel,V,Guerrero,M,lemuel.guerrero@aol.com,6/7/1985,32.16,10/15/2011,Q4,5.79,127772,16%,759-12-8112,215-226-4111,Listie,Somerset,Listie,PA,15549,Northeast,lvguerrero,kB1pj3NT#{
279563,Mr.,Clint,A,Bridges,M,clint.bridges@aol.com,5/3/1994,23.25,10/14/2015,Q4,1.79,67442,15%,366-39-9002,217-331-1409,Blue Island,Cook,Blue Island,IL,60406,Midwest,cabridges,5;\NmM6h
201710,Ms.,Karyn,A,Christian,F,karyn.christian@aol.com,5/22/1983,34.21,6/18/2017,Q2,0.11,96197,1%,338-11-7664,206-731-9312,Ardenvoir,Chelan,Ardenvoir,WA,98811,West,kachristian,YyDQ{@\FB
722543,Ms.,Lesa,E,Hughes,F,lesa.hughes@bp.com,2/13/1981,36.48,1/3/2016,Q1,1.57,96641,18%,302-15-6438,219-822-4544,Terre Haute,Vigo,Terre Haute,IN,47807,Midwest,lehughes,1!K!f{wRb
909337,Mr.,Rich,M,Bates,M,rich.bates@apple.com,2/28/1989,28.43,1/22/2011,Q1,6.52,145181,8%,762-12-7813,270-833-4069,Maysville,Mason,Maysville,KY,41056,South,rmbates,KEmtY;R]83
601071,Ms.,Liz,H,Frank,F,liz.frank@hotmail.com,3/15/1986,31.39,2/14/2009,Q1,8.45,199943,18%,361-08-6826,339-926-4628,Amherst,Hampshire,Amherst,MA,1002,Northeast,lhfrank,z;hrf&a1R6;94m_
269523,Hon.,Kendra,X,Villarreal,F,kendra.villarreal@gmail.com,10/22/1963,53.8,3/30/2007,Q1,10.34,144517,5%,298-15-2734,319-625-4770,Beaman,Grundy,Beaman,IA,50609,Midwest,kxvillarreal,Kwd>&}C3K]
310986,Drs.,Maryellen,R,Mcfadden,F,maryellen.mcfadden@hotmail.co.uk,10/3/1975,41.85,4/14/2017,Q2,0.29,94221,9%,437-99-3995,479-467-9379,Tuckerman,Jackson,Tuckerman,AR,72473,South,mrmcfadden,cG:vj~H3f^
323914,Mr.,German,M,Carney,M,german.carney@aol.com,7/21/1958,59.06,5/14/2000,Q2,17.22,84824,6%,117-98-3137,231-975-6713,Lakeview,Montcalm,Lakeview,MI,48850,Midwest,gmcarney,j#Q!6AZkYL-IIHl
928739,Hon.,Micheal,A,Shannon,M,micheal.shannon@earthlink.net,12/8/1986,30.66,2/27/2015,Q1,2.42,143864,1%,610-87-0573,217-864-7925,Arlington,Bureau,Arlington,IL,61312,Midwest,mashannon,I2L}VZh1m5S8i
238992,Dr.,Carlo,X,Albert,M,carlo.albert@gmail.com,12/6/1961,55.68,12/26/1996,Q4,20.6,104197,8%,684-24-8918,212-267-9103,Liverpool,Onondaga,Liverpool,NY,13088,Northeast,cxalbert,zL^Du$>q+nG
434046,Mrs.,Bianca,I,Langley,F,bianca.langley@gmail.com,6/3/1960,57.19,4/14/1994,Q2,23.3,80844,30%,548-99-1891,228-683-5798,Escatawpa,Jackson,Escatawpa,MS,39552,South,bilangley,Z\%t~Y9kmu5
971444,Mr.,Elias,X,Cabrera,M,elias.cabrera@yahoo.com,7/13/1990,27.06,5/2/2016,Q2,1.24,87962,12%,327-11-4323,215-258-0052,Oaks,Montgomery,Oaks,PA,19456,Northeast,excabrera,z:}0rg2-}~[P4
602683,Ms.,Alberta,A,Chapman,F,alberta.chapman@comcast.net,6/5/1972,45.18,6/29/1999,Q2,18.09,125428,22%,043-15-2394,212-884-9934,Rochester,Monroe,Rochester,NY,14611,Northeast,aachapman,C^ga/Cws
145327,Mr.,Erin,M,Olsen,M,erin.olsen@yahoo.ca,8/8/1994,22.99,4/19/2016,Q2,1.27,66575,14%,078-02-5597,215-325-1574,Farmington,Fayette,Farmington,PA,15437,Northeast,emolsen,3KBKoP~;]
597202,Dr.,Frederic,E,Stephenson,M,frederic.stephenson@gmail.com,10/15/1969,47.82,4/23/2013,Q2,4.27,192498,26%,718-18-4544,314-672-3681,Seligman,Barry,Seligman,MO,65745,Midwest,festephenson,qN|[?G+gj#p2;
168824,Mr.,Tanner,T,Caldwell,M,tanner.caldwell@aol.com,4/8/1968,49.34,6/6/1999,Q2,18.16,116635,22%,651-62-1143,219-315-4592,Michigan City,LaPorte,Michigan City,IN,46360,Midwest,ttcaldwell,5LO\okOd+n$F*
616665,Mr.,Clarence,I,Powers,M,clarence.powers@gmail.com,7/5/1982,35.09,4/11/2005,Q2,12.3,108511,6%,485-41-0226,229-748-1788,Macon,Bibb,Macon,GA,31203,South,cipowers,mu4P8p?ImR
396135,Prof.,German,I,Sheppard,M,german.sheppard@gmail.com,7/29/1991,26.02,10/24/2014,Q4,2.76,110021,30%,521-99-4180,252-794-3936,Matthews,Mecklenburg,Matthews,NC,28105,South,gisheppard,d_nOhP*;
966525,Mr.,Dion,U,Duffy,M,dion.duffy@aol.com,4/6/1995,22.33,1/16/2017,Q1,0.53,124074,26%,537-71-4655,201-358-5413,Plainfield,Union,Plainfield,NJ,7063,Northeast,duduffy,sf{A|y:P0pa
362287,Mr.,Cornelius,V,Townsend,M,cornelius.townsend@charter.net,6/2/1970,47.19,4/26/2009,Q2,8.26,176165,21%,440-29-7897,314-501-3342,High Point,Moniteau,High Point,MO,65042,Midwest,cvtownsend,D}Ye^>k9Hn~D
798646,Ms.,Patsy,N,Koch,F,patsy.koch@gmail.com,7/15/1984,33.06,3/9/2010,Q1,7.39,87146,30%,607-87-2784,229-844-7119,Atlanta,Fulton,Atlanta,GA,30304,South,pnkoch,WH+s*pLB
451972,Hon.,Waldo,I,Shields,M,waldo.shields@aol.com,11/29/1970,46.69,2/22/2012,Q1,5.43,62435,2%,770-02-3111,270-993-0450,Wooton,Leslie,Wooton,KY,41776,South,wishields,Y#dmn<!U]u}yq[5
993675,Hon.,Damien,Z,Rose,M,damien.rose@gmail.com,7/15/1965,52.07,12/17/2005,Q4,11.62,161871,17%,619-87-8206,304-392-5876,Five Forks,Five Forks,Five Forks,WV,26145,South,dzrose,7!>S[BCy
807964,Mr.,Curt,Y,Bridges,M,curt.bridges@microsoft.com,10/22/1978,38.79,9/17/2011,Q3,5.87,97656,18%,633-31-8420,239-399-1809,Monticello,Jefferson,Monticello,FL,32344,South,cybridges,dD^M]xn6z+&KV;h
769123,Mr.,Brenton,N,Matthews,M,brenton.matthews@bellsouth.net,11/6/1970,46.76,12/27/1994,Q4,22.6,98023,2%,495-29-4565,216-585-2060,Green Camp,Marion,Green Camp,OH,43322,Midwest,bnmatthews,gdv}z%QDB#8
395792,Hon.,Miguel,W,Finley,M,miguel.finley@gmail.com,7/6/1980,37.08,7/12/2004,Q3,13.05,103749,13%,698-16-2863,405-566-7872,Kingfisher,Kingfisher,Kingfisher,OK,73750,South,mwfinley,ASzrGkwon\P0
929791,Ms.,Esperanza,E,Paul,F,esperanza.paul@aol.com,12/10/1960,56.67,3/14/1990,Q1,27.39,176095,20%,318-11-9459,236-750-2453,Lexington,Lexington (city),Lexington,VA,24450,South,eepaul,4Boj*Q2j~eU*|>B
141326,Hon.,Patricia,C,Briggs,F,patricia.briggs@yahoo.com,11/13/1975,41.73,5/5/2000,Q2,17.24,160494,0%,711-18-1075,240-914-8001,Easton,Talbot,Easton,MD,21601,South,pcbriggs,x-PdHQo?[d-
232794,Dr.,Forrest,B,Noel,M,forrest.noel@hotmail.com,3/25/1978,39.37,4/5/1999,Q2,18.33,112988,29%,107-98-0848,239-609-5243,Lee,Madison,Lee,FL,32059,South,fbnoel,jR2Oz/+^zIZp<
946835,Hon.,Marjorie,J,Wells,F,marjorie.wells@bp.com,9/14/1961,55.91,12/2/2005,Q4,11.66,128425,18%,725-18-0941,316-282-5461,Baldwin City,Douglas,Baldwin City,KS,66006,Midwest,mjwells,v9i9-_fwqY#T~u
894936,Ms.,Vivian,T,Burnett,F,vivian.burnett@gmail.com,2/9/1960,57.5,9/6/2001,Q3,15.9,93355,2%,001-11-5958,236-831-5026,Hampden Sydney,Prince Edward,Hampden Sydney,VA,23943,South,vtburnett,yp]4_@~E>tzoOB
946630,Mr.,Duncan,L,Chen,M,duncan.chen@yahoo.co.uk,2/17/1964,53.48,11/2/2000,Q4,16.75,154843,11%,247-99-3757,239-879-2427,West Palm Beach,Palm Beach,West Palm Beach,FL,33420,South,dlchen,g<\Q-?m#f
381338,Ms.,Miriam,A,Barrett,F,miriam.barrett@yahoo.ca,6/25/1990,27.11,3/8/2016,Q1,1.39,131543,14%,031-92-2692,210-779-7802,Brady,McCulloch,Brady,TX,76825,South,mabarrett,mNCdGZxQSjsDigF
141178,Mr.,Adam,X,Kirby,M,adam.kirby@yahoo.ca,8/11/1963,54,8/3/2015,Q3,1.99,107957,22%,152-23-6880,208-736-4975,Potlatch,Latah,Potlatch,ID,83855,West,axkirby,K$pE:jff
169763,Prof.,Benjamin,X,Macdonald,M,benjamin.macdonald@gmail.com,5/16/1976,41.23,4/20/1999,Q2,18.28,89172,27%,295-15-3529,316-561-5979,Tribune,Greeley,Tribune,KS,67879,Midwest,bxmacdonald,Hp$e&4ffg\97%TN
326358,Mr.,Neil,U,Murray,M,neil.murray@apple.com,9/17/1985,31.88,3/24/2016,Q1,1.35,84151,22%,375-37-8892,603-851-8092,Milton,Strafford,Milton,NH,3851,Northeast,numurray,Y2O1.0^W2k9
185077,Ms.,Nichole,S,Oneil,F,nichole.oneil@shaw.ca,11/30/1957,59.7,3/24/2008,Q1,9.35,153345,9%,768-02-1938,209-683-3370,Bangor,Butte,Bangor,CA,95914,West,nsoneil,W.@8w7r6+
901185,Mr.,Jonathon,M,Pearson,M,jonathon.pearson@yahoo.com,9/30/1967,49.86,8/17/2015,Q3,1.95,173372,19%,263-99-7250,240-746-0671,Silver Spring,Montgomery,Silver Spring,MD,20903,South,jmpearson,Zy:Jp>4:
264960,Dr.,Brent,J,Bryant,M,brent.bryant@aol.com,5/9/1960,57.26,12/30/1985,Q4,31.6,180468,5%,592-99-1277,423-391-0195,Adamsville,McNairy,Adamsville,TN,38310,South,bjbryant,EI7+EGFJ5F*
248449,Ms.,Carlene,E,Cain,F,carlene.cain@rediffmail.com,11/25/1985,31.69,6/25/2007,Q2,10.1,107647,4%,056-02-8441,210-510-0508,Houston,Harris,Houston,TX,77219,South,cecain,xlbl~et:c
906870,Mr.,Arnulfo,M,Pittman,M,arnulfo.pittman@yahoo.ca,9/26/1972,44.87,5/11/2002,Q2,15.22,190709,15%,355-08-6207,215-333-8078,Auburn,Schuylkill,Auburn,PA,17922,Northeast,ampittman,THImNj;q
160503,Mr.,Nickolas,Z,Williams,M,nickolas.williams@gmail.com,6/23/1985,32.12,6/15/2009,Q2,8.12,97725,1%,501-37-0648,307-656-9306,Hanna,Carbon,Hanna,WY,82327,West,nzwilliams,PqwnHDz_@LE_
212917,Prof.,Raymundo,W,Kramer,M,raymundo.kramer@aol.com,4/29/1975,42.28,7/1/2002,Q3,15.08,178073,8%,526-99-6591,252-396-5055,Toast,Surry,Toast,NC,27049,South,rwkramer,DfZv}BYynv@
337955,Mr.,Jeremiah,W,Dotson,M,jeremiah.dotson@cox.net,7/16/1988,29.05,1/21/2015,Q1,2.52,42840,27%,562-99-8892,216-364-7679,Shauck,Morrow,Shauck,OH,43349,Midwest,jwdotson,7K]n&w<ui?:R10
171553,Mr.,Tanner,I,Matthews,M,tanner.matthews@rediffmail.com,9/24/1976,40.87,12/7/2008,Q4,8.64,161106,6%,602-87-3904,907-768-0562,Anchorage,Anchorage Municipality,Anchorage,AK,99695,West,timatthews,lIaBsPQ/zWPS
433510,Mr.,Dorian,A,Foster,M,dorian.foster@gmail.com,7/24/1960,57.05,8/15/2009,Q3,7.96,98604,4%,021-94-2703,304-937-0141,Canebrake,Canebrake,Canebrake,WV,24819,South,dafoster,ftXOOeN|1
970502,Drs.,Nora,I,Hansen,F,nora.hansen@yahoo.co.uk,11/13/1982,34.73,6/1/2004,Q2,13.16,159223,8%,766-04-0139,319-877-0443,Woolstock,Wright,Woolstock,IA,50599,Midwest,nihansen,bB9KP+rtT$i!&d
668717,Hon.,Danial,F,Watts,M,danial.watts@hotmail.com,8/15/1959,57.99,6/9/2013,Q2,4.14,188022,5%,235-57-6265,206-245-0115,Joyce,Clallam,Joyce,WA,98343,West,dfwatts,tELj.>A;/DA
479832,Dr.,Nelson,H,Mcintosh,M,nelson.mcintosh@bp.com,8/17/1975,41.98,7/15/2005,Q3,12.04,139662,30%,100-02-9212,239-650-1951,Glen Saint Mary,Baker,Glen Saint Mary,FL,32040,South,nhmcintosh,B{tM3LeYV^B
273645,Dr.,Manuel,J,Fulton,M,manuel.fulton@gmail.com,7/16/1983,34.06,6/29/2017,Q2,0.08,80629,10%,695-16-1078,339-281-4930,Peabody,Peabody,Peabody,MA,1964,Northeast,mjfulton,cn4e_e1GN
266284,Hon.,Dominic,U,Henson,M,dominic.henson@aol.com,4/8/1979,38.33,2/6/2003,Q1,14.48,180062,16%,670-48-0872,314-758-8742,Sumner,Chariton,Sumner,MO,64681,Midwest,duhenson,YqhyoPCI
332802,Mr.,Lowell,M,Erickson,M,lowell.erickson@gmail.com,9/2/1982,34.93,10/23/2013,Q4,3.76,104764,30%,506-57-1112,308-308-0823,Potter,Cheyenne,Potter,NE,69156,Midwest,lmerickson,FctVw&C1uY;C
166615,Mrs.,Jayne,O,Coleman,F,jayne.coleman@yahoo.ca,8/18/1980,36.97,11/27/2010,Q4,6.67,171662,26%,361-08-7099,236-667-5880,Norfolk,Norfolk (city),Norfolk,VA,23506,South,jocoleman,79c@{\0C?MZ
953967,Mr.,Cornell,G,Daniel,M,cornell.daniel@yahoo.com,5/27/1960,57.21,10/31/2004,Q4,12.75,197951,6%,285-15-0464,212-208-7933,Woodhaven,Queens,Woodhaven,NY,11421,Northeast,cgdaniel,v6RaxaFiq|
114425,Mrs.,Doris,G,Glenn,F,doris.glenn@yahoo.co.uk,1/14/1976,41.56,9/2/2002,Q3,14.91,188137,28%,695-16-1021,270-590-4835,Blaine,Lawrence,Blaine,KY,41124,South,dgglenn,ge|nr_k2r-Nf
676618,Drs.,Tabatha,C,Gonzales,F,tabatha.gonzales@sbcglobal.net,6/9/1966,51.17,8/7/2009,Q3,7.98,160421,7%,601-99-3515,215-935-5310,Steelville,Chester,Steelville,PA,19370,Northeast,tcgonzales,uv6Cw8.}j@+N7O
581563,Prof.,Jerome,E,Foreman,M,jerome.foreman@verizon.net,12/11/1988,28.65,8/28/2015,Q3,1.92,125044,1%,525-99-8310,203-633-8482,Cobalt,Middlesex,Cobalt,CT,6414,Northeast,jeforeman,VDahaJ4:b|R[H&8
925484,Mr.,Elton,L,Ferguson,M,elton.ferguson@ibm.com,11/30/1982,34.68,5/9/2006,Q2,11.23,176750,24%,060-02-7585,217-662-5907,Lombard,DuPage,Lombard,IL,60148,Midwest,elferguson,WG!NJ$k{<?Hk]Pe
328562,Mr.,Stacy,V,Jennings,M,stacy.jennings@gmail.com,6/6/1980,37.17,6/28/2006,Q2,11.09,134904,23%,772-02-1098,225-548-6104,Enterprise,Catahoula,Enterprise,LA,71425,South,svjennings,d~i0a$4?rm
759248,Dr.,Rory,V,Fowler,M,rory.fowler@shaw.ca,3/6/1976,41.42,12/22/2004,Q4,12.61,70626,7%,582-99-8089,215-234-1586,Templeton,Armstrong,Templeton,PA,16259,Northeast,rvfowler,QcN86gTm2Ynb-w
158543,Mr.,Greg,S,Kane,M,greg.kane@bp.com,4/13/1964,53.33,5/21/1992,Q2,25.2,62904,26%,359-08-4375,270-884-8389,Turners Station,Henry,Turners Station,KY,40075,South,gskane,q$wVd%Ste:l\vs
275491,Dr.,Julian,Y,Russo,M,julian.russo@gmail.com,4/15/1958,59.33,1/27/1988,Q1,29.52,117739,5%,193-86-6196,207-313-8110,Lisbon Center,Lisbon Center,Lisbon Center,ME,4251,Northeast,jyrusso,09%q~$XzoA
